Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
RSW;Southwest Florida Reg;Fort Myers;United States;US;26.542222;-81.755278;67;4155995;6252001;26.542222, -81.755278
TUH;Arnold AFS;Tullahoma;United States;US;52.777222;-8.404167;67;4663494;6252001;52.777222, -8.404167
MCW;Mason City Municipal;Mason City, IA;United States;US;43.157778;-93.331389;67;4901390;6252001;43.157778, -93.331389
KWP;Village SPB;West Point;United States;US;57.766667;-153.55;67;5784580;6252001;57.766667, -153.55
DBN;Municipal;Dublin;United States;US;32.55;-82.983333;67;5344157;6252001;32.55, -82.983333
MOP;Municipal;Mount Pleasant;United States;US;43.616667;-84.733333;67;5543514;6252001;43.616667, -84.733333
VNC;Venice Municipal;Venice, FL;United States;US;27.071667;-82.440278;67;4251958;6252001;27.071667, -82.440278
EXI;SPB;Excursion Inlet;United States;US;58.416667;-135.433333;67;\N;6252001;58.416667, -135.433333
MKK;Molokai;Hoolehua;United States;US;21.166667;-157.116667;67;\N;6252001;21.166667, -157.116667
MPJ;Petit Jean Park;Morrilton;United States;US;-16.166389;38.721944;67;4122218;6252001;-16.166389, 38.721944
ISM;Kissimmee Gateway;Kissimmee;United States;US;28.283333;-81.433333;67;4160983;6252001;28.283333, -81.433333
RBG;Municipal;Roseburg;United States;US;43.233333;-123.35;67;5749352;6252001;43.233333, -123.35
SLQ;Sleetmute;Sleetmute;United States;US;61.7;-157.116667;67;\N;6252001;61.7, -157.116667
CUH;Municipal;Cushing;United States;US;35.983333;-96.766667;67;4961976;6252001;35.983333, -96.766667
OBT;Oakland/Coliseum Stat;Oakland, MD;United States;US;17.916667;-142.05;67;5378538;6252001;17.916667, -142.05
ZME;Metropark Rail;Newark;United States;US;40.919444;74.169444;67;5376803;6252001;40.919444, 74.169444
TOG;Togiak Village;Togiak Village;United States;US;-0.333333;122.0;67;\N;6252001;-0.333333, 122.0
ANW;Ainsworth;Ainsworth;United States;US;42.583333;-99.983333;67;5062769;6252001;42.583333, -99.983333
VEE;Venetie;Venetie;United States;US;67.016667;-146.416667;67;\N;6252001;67.016667, -146.416667
TNP;Twentynine Palms;Twentynine Palms;United States;US;52.116667;7.4;67;5404198;6252001;52.116667, 7.4
IDG;Municipal;Ida Grove;United States;US;42.35;-95.466667;67;4861464;6252001;42.35, -95.466667
INK;Wink;Wink;United States;US;31.783333;-103.2;67;\N;6252001;31.783333, -103.2
GLE;Municipal;Gainesville;United States;US;45.4;2.9;67;4760363;6252001;45.4, 2.9
NZY;North Island Nas;San Diego;United States;US;32.699167;-117.215278;67;5391811;6252001;32.699167, -117.215278
AVP;Wilkes-Barre/Scranton International Airport;Wilkes-Barre/Scranton, PA;United States;US;41.338333;-75.723333;67;5219488;6252001;41.338333, -75.723333
PCD;Municipal;Prairie Du Chien;United States;US;43.016667;-91.116667;67;5268002;6252001;43.016667, -91.116667
FRG;Republic Field;Farmingdale;United States;US;40.733333;-73.416667;67;5116931;6252001;40.733333, -73.416667
ZRD;Richmond VA Rail;Richmond;United States;US;48.166667;-65.833333;67;5780388;6252001;48.166667, -65.833333
JAR;Jahrom;Jahrom;United States;US;34.133333;-118.016667;67;\N;6252001;34.133333, -118.016667
EKX;Elizabethtown;Elizabethtown;United States;US;37.7;-85.866667;67;5188474;6252001;37.7, -85.866667
DLF;Laughlin Afb;Del Rio;United States;US;29.516666999999998;-100.0;67;5520076;6252001;29.516666999999998, -100.0
WTL;Tuntutuliak;Tuntutuliak;United States;US;13.45;-15.8;67;\N;6252001;13.45, -15.8
MKG;Muskegon;Muskegon;United States;US;43.166667;-86.233333;67;5003132;6252001;43.166667, -86.233333
DBQ;Municipal;Dubuque;United States;US;42.4;-90.716667;67;4854529;6252001;42.4, -90.716667
MIA;Miami International Airport;Miami;United States;US;25.783333;-80.266667;67;5304640;6252001;25.783333, -80.266667
SIK;Memorial;Sikeston;United States;US;36.883333;-89.566667;67;4408672;6252001;36.883333, -89.566667
FXY;Municipal;Forest City;United States;US;43.266667;-93.65;67;5189963;6252001;43.266667, -93.65
APC;Napa County;Napa;United States;US;38.45;-122.216667;67;5376095;6252001;38.45, -122.216667
RKD;Knox County Regional;Rockland;United States;US;44.066667;-69.1;67;4948924;6252001;44.066667, -69.1
RUT;Rutland;Rutland;United States;US;43.533333;-72.95;67;5240509;6252001;43.533333, -72.95
SWW;Sweetwater;Sweetwater;United States;US;32.466667;-100.466667;67;5531968;6252001;32.466667, -100.466667
UMM;Summit;Summit;United States;US;63.333333;-149.133333;67;5812505;6252001;63.333333, -149.133333
SMD;Smith Field;Fort Wayne, IN;United States;US;41.143333;-85.152778;67;4920423;6252001;41.143333, -85.152778
ONY;Olney;Olney;United States;US;33.366667;-98.75;67;4716683;6252001;33.366667, -98.75
ALO;Waterloo;Waterloo;United States;US;42.55;-92.383333;67;5277989;6252001;42.55, -92.383333
BMC;Brigham City;Brigham City;United States;US;41.533333;-112.05;67;5771960;6252001;41.533333, -112.05
UKI;Ukiah;Ukiah;United States;US;39.126667;-123.2;67;5404476;6252001;39.126667, -123.2
AKP;Anaktuvuk;Anaktuvuk;United States;US;68.133333;-151.733333;67;\N;6252001;68.133333, -151.733333
WSG;County;Washington;United States;US;40.166667;-80.25;67;5549222;6252001;40.166667, -80.25
JAJ;Perimeter Mall;Atlanta;United States;US;9.716667;-82.983333;67;4883772;6252001;9.716667, -82.983333
RKP;Aransas County;Rockport;United States;US;28.083333;-97.033333;67;4976817;6252001;28.083333, -97.033333
FTL;Fortuna Ledge;Fortuna Ledge;United States;US;61.866667;-162.033333;67;\N;6252001;61.866667, -162.033333
PSQ;SPB;Philadelphia;United States;US;29.483333;31.066667;67;5131095;6252001;29.483333, 31.066667
NHK;Patuxent River NAS;Patuxent River, MD;United States;US;38.286111;-76.411667;67;\N;6252001;38.286111, -76.411667
JLN;Joplin Regional;Joplin, MO;United States;US;37.151944;-94.498333;67;4392768;6252001;37.151944, -94.498333
SLO;Leckrone;Salem;United States;US;38.616667;-88.933333;67;5750162;6252001;38.616667, -88.933333
TGE;Sharpe Field;Tuskegee;United States;US;46.966667;17.083333;67;4094490;6252001;46.966667, 17.083333
SDF;Louisville International;Louisville, KY;United States;US;38.174444;-85.736111;67;5429522;6252001;38.174444, -85.736111
RFG;Rooke Field;Refugio;United States;US;-41.066667;-72.466667;67;4722145;6252001;-41.066667, -72.466667
BVD;Sea Port;Beaver Inlet;United States;US;53.733333;-166.316667;67;\N;6252001;53.733333, -166.316667
HOU;William P Hobby;Houston, TX;United States;US;29.645556;-95.278889;67;5864312;6252001;29.645556, -95.278889
BIG;Intermediate Field;Big Delta;United States;US;64.0;-145.733333;67;\N;6252001;64.0, -145.733333
TDZ;Toledo;Toledo;United States;US;6.533333;-75.783333;67;5757007;6252001;6.533333, -75.783333
EFB;Eight Fathom Bight;Eight Fathom Bight;United States;US;58.0;-135.733333;67;\N;6252001;58.0, -135.733333
FME;Tipton AAF;Fort Meade;United States;US;19.833333;-72.5;67;4155988;6252001;19.833333, -72.5
RNZ;Rensselaer;Rensselaer;United States;US;40.95;-87.15;67;5133667;6252001;40.95, -87.15
